"id","latitude","longitude","wsp"
384,18.0771,-37.8385,0.138839
385,16.2685,-40.6474,0.141063
386,14.4288,-43.4069,0.143138
387,12.5632,-46.1229,0.145187
388,10.6767,-48.8014,0.147341
389,8.77403,-51.4486,0.149737
390,6.86004,-54.0705,0.152512
391,4.9393,-56.6735,0.1558
392,3.01636,-59.2636,0.159727
393,1.86368,-55.7156,0.162437
394,3.72362,-53.1433,0.158201
395,0,-53.0884,0.167459
396,5.57604,-50.5601,0.154646
397,1.85909,-50.4543,0.162448
398,-1.85909,-50.4543,0.162448
399,7.41713,-47.9606,0.151658
400,3.71003,-47.8083,0.158229
401,0,-47.758,0.167459
402,-3.71003,-47.8083,0.158229
403,9.243,-45.3393,0.149118
404,5.54905,-45.1453,0.154693
405,1.85022,-45.0496,0.16247
406,-1.85022,-45.0496,0.16247
407,-5.54905,-45.1453,0.154693
408,11.0497,-42.6908,0.146902
409,7.3722,-42.4602,0.151726
410,3.68782,-42.3242,0.158275
411,0,-42.2793,0.167459
412,-3.68782,-42.3242,0.158275
413,-7.3722,-42.4602,0.151726
414,12.833,-40.0098,0.144889
415,9.17531,-39.7479,0.149206
416,5.50873,-39.5772,0.154765
417,1.83684,-39.493,0.162503
418,-1.83684,-39.493,0.162503
419,-5.50873,-39.5772,0.154765
420,-9.17531,-39.7479,0.149206
421,14.5888,-37.2907,0.142962
422,10.954,-37.0035,0.147014
423,7.30863,-36.8039,0.151821
424,3.6561,-36.6862,0.158342
425,0,-36.6473,0.167459
426,-3.6561,-36.6862,0.158342
427,-7.30863,-36.8039,0.151821
428,-10.954,-37.0035,0.147014
429,16.3127,-34.5284,0.141011
430,12.7039,-34.2221,0.145032
431,9.0829,-33.9995,0.149327
432,5.45324,-33.8544,0.154863
433,1.81833,-33.7828,0.162549
434,-1.81833,-33.7828,0.162549
435,-5.45324,-33.8544,0.154863
436,-9.0829,-33.9995,0.149327
437,-12.7039,-34.2221,0.145032
438,18,-31.7175,0.13894
439,14.42,-31.3989,0.143148
440,10.8267,-31.1598,0.147163
441,7.22343,-30.9935,0.15195
442,3.61341,-30.8955,0.158432
443,0,-30.8631,0.167459
444,-3.61341,-30.8955,0.158432
445,-7.22343,-30.9935,0.15195
446,-10.8267,-31.1598,0.147163
447,-14.42,-31.3989,0.143148
448,19.646,-28.8529,0.136663
449,16.0975,-28.5291,0.141262
450,12.535,-28.2803,0.145218
451,8.96152,-28.0994,0.149487
452,5.38011,-27.9814,0.154994
453,1.79391,-27.9232,0.16261
454,-1.79391,-27.9232,0.16261
455,-5.38011,-27.9814,0.154994
456,-8.96152,-28.0994,0.149487
457,-12.535,-28.2803,0.145218
458,-16.0975,-28.5291,0.141262
459,21.2458,-25.9299,0.134114
460,17.7312,-25.6084,0.139285
461,14.2024,-25.3569,0.143387
462,10.6621,-25.168,0.147358
463,7.11302,-25.0367,0.152119
464,3.55801,-24.9592,0.158549
465,0,-24.9336,0.167459
466,-3.55801,-24.9592,0.158549
467,-7.11302,-25.0367,0.152119
468,-10.6621,-25.168,0.147358
469,-14.2024,-25.3569,0.143387
470,-17.7312,-25.6084,0.139285
471,22.7941,-22.9437,0.131246
472,19.3157,-22.6325,0.137145
473,15.8235,-22.3856,0.141577
474,12.3196,-22.1958,0.145458
475,8.80644,-22.0577,0.149693
476,5.28658,-21.9676,0.155162
477,1.76265,-21.9232,0.162688
478,-1.76265,-21.9232,0.162688
479,-5.28658,-21.9676,0.155162
480,-8.80644,-22.0577,0.149693
481,-12.3196,-22.1958,0.145458
482,-15.8235,-22.3856,0.141577
483,-19.3157,-22.6325,0.137145
484,24.2856,-19.8902,0.128033
485,20.8456,-19.5975,0.134787
486,17.3925,-19.3628,0.139711
487,13.9281,-19.1791,0.143688
488,10.4544,-19.0411,0.147607
489,6.97363,-18.9451,0.152334
490,3.48803,-18.8884,0.158698
491,0,-18.8697,0.167459
492,-3.48803,-18.8884,0.158698
493,-6.97363,-18.9451,0.152334
494,-10.4544,-19.0411,0.147607
495,-13.9281,-19.1791,0.143688
496,-17.3925,-19.3628,0.139711
497,-20.8456,-19.5975,0.134787
498,25.7146,-16.7657,0.124473
499,22.3151,-16.5001,0.13218
500,18.9036,-16.2853,0.137727
501,15.4816,-16.1148,0.141966
502,12.0508,-15.9837,0.145758
503,8.6129,-15.8883,0.149954
504,5.16983,-15.826,0.155374
505,1.72363,-15.7953,0.162786
506,-1.72363,-15.7953,0.162786
507,-5.16983,-15.826,0.155374
508,-8.6129,-15.8883,0.149954
509,-12.0508,-15.9837,0.145758
510,-15.4816,-16.1148,0.141966
511,-18.9036,-16.2853,0.137727
512,-22.3151,-16.5001,0.13218
513,27.0754,-13.5671,0.120586
514,23.7182,-13.3373,0.129312
515,20.3507,-13.1503,0.135586
516,16.974,-13.0003,0.140224
517,13.5892,-12.8827,0.144059
518,10.1979,-12.7944,0.147917
519,6.80147,-12.7329,0.152604
520,3.4016,-12.6966,0.158883
521,0,-12.6847,0.167459
522,-3.4016,-12.6966,0.158883
523,-6.80147,-12.7329,0.152604
524,-10.1979,-12.7944,0.147917
525,-13.5892,-12.8827,0.144059
526,-16.974,-13.0003,0.140224
527,-20.3507,-13.1503,0.135586
528,-23.7182,-13.3373,0.129312
529,28.3622,-10.2921,0.116413
530,25.0491,-10.1069,0.126194
531,21.7277,-9.95552,0.133267
532,18.3988,-9.83299,0.138415
533,15.0632,-9.73565,0.142436
534,11.7219,-9.66074,0.146129
535,8.37613,-9.6062,0.150279
536,5.02702,-9.57061,0.155637
537,1.6759,-9.55303,0.162906
538,-1.6759,-9.55303,0.162906
539,-5.02702,-9.57061,0.155637
540,-8.37613,-9.6062,0.150279
541,-11.7219,-9.66074,0.146129
542,-15.0632,-9.73565,0.142436
543,-18.3988,-9.83299,0.138415
544,-21.7277,-9.95552,0.133267
545,-25.0491,-10.1069,0.126194
546,29.5688,-6.93918,0.112022
547,26.3014,-6.80747,0.12286
548,23.0282,-6.69933,0.130773
549,19.7495,-6.61123,0.136509
550,16.466,-6.54047,0.140831
551,13.1782,-6.48501,0.14451
552,9.8868,-6.44331,0.1483
553,6.59274,-6.41427,0.152936
554,3.29684,-6.39714,0.159109
555,0,-6.39147,0.167459
556,-3.29684,-6.39714,0.159109
557,-6.59274,-6.41427,0.152936
558,-9.8868,-6.44331,0.1483
559,-13.1782,-6.48501,0.14451
560,-16.466,-6.54047,0.140831
561,-19.7495,-6.61123,0.136509
562,-23.0282,-6.69933,0.130773
563,-26.3014,-6.80747,0.12286
564,30.6893,-3.50818,0.107496
565,27.4691,-3.43834,0.119362
566,24.2458,-3.38084,0.128125
567,21.0196,-3.33375,0.134498
