sol_lon;latitude;insol
2;-55.0;97.9478033553133
2;-54.0;100.49674489904184
2;-53.0;103.01513149880503
2;-52.0;105.5021921093962
2;-51.0;107.95716562182433
2;-50.0;110.37930104661429
2;-49.0;112.76785770108711
2;-48.0;115.12210539939038
2;-47.0;117.44132464426609
2;-46.0;119.72480681971558
2;-45.0;121.97185438385996
2;-44.0;124.1817810614052
2;-43.0;126.35391203521324
2;-42.0;128.4875841365511
2;-41.0;130.5821460336534
2;-40.0;132.63695841828124
2;-39.0;134.6513941900025
2;-38.0;136.62483863795208
2;-37.0;138.55668961986046
2;-36.0;140.44635773816114
2;-35.0;142.29326651300934
2;-34.0;144.09685255206156
2;-33.0;145.85656571687852
2;-32.0;147.57186928582934
2;-31.0;149.24224011338382
2;-30.0;150.86716878568902
2;-29.0;152.44615977233667
2;-28.0;153.97873157423274
2;-27.0;155.46441686748793
2;-26.0;156.90276264325524
2;-25.0;158.29333034344177
2;-24.0;159.63569599223166
2;-23.0;160.92945032335692
2;-22.0;162.17419890305925
2;-21.0;163.3695622486886
2;-20.0;164.51517594288774
2;-19.0;165.61069074331456
2;-18.0;166.65577268785776
2;-17.0;167.65010319530305
2;-16.0;168.59337916141035
2;-15.0;169.48531305036468
2;-14.0;170.3256329815655
2;-13.0;171.11408281172172
2;-12.0;171.85042221222196
2;-11.0;172.53442674175093
2;-10.0;173.16588791412576
2;-9.0;173.74461326132777
2;-8.0;174.27042639170622
2;-7.0;174.74316704333444
2;-6.0;175.16269113249845
2;-5.0;175.52887079730115
2;-4.0;175.8415944363675
2;-3.0;176.1007667426362
2;-2.0;176.30630873222717
2;-1.0;176.4581577683737
2;0.0;176.55626758041305
2;1.0;176.60060827782684
2;2.0;176.59116635932835
2;3.0;176.52794471699278
